"DATA No","DATE","TIME","SensorId","Value"
169,2020/05/13,08:21:00,1,1.562500E+01
170,2020/05/13,08:21:01,2,0.000000E+00
171,2020/05/13,08:21:15,1,1.155469E+02
172,2020/05/13,08:21:16,2,0.000000E+00
173,2020/05/13,08:21:30,1,8.757812E+01
174,2020/05/13,08:21:31,2,0.000000E+00
175,2020/05/13,08:21:45,1,8.820313E+01
176,2020/05/13,08:21:46,2,0.000000E+00
177,2020/05/13,08:22:00,1,0.000000E+00
178,2020/05/13,08:22:01,2,0.000000E+00
179,2020/05/13,08:22:15,1,0.000000E+00
180,2020/05/13,08:22:16,2,0.000000E+00
181,2020/05/13,08:22:30,1,0.000000E+00
182,2020/05/13,08:22:31,2,0.000000E+00
183,2020/05/13,08:22:45,1,0.000000E+00
184,2020/05/13,08:22:46,2,0.000000E+00
185,2020/05/13,08:23:00,1,0.000000E+00
186,2020/05/13,08:23:01,2,0.000000E+00
187,2020/05/13,08:23:15,1,0.000000E+00
188,2020/05/13,08:23:16,2,0.000000E+00
189,2020/05/13,08:23:30,1,0.000000E+00
190,2020/05/13,08:23:31,2,0.000000E+00
191,2020/05/13,08:23:45,1,0.000000E+00
192,2020/05/13,08:23:46,2,0.000000E+00
193,2020/05/13,08:24:00,1,0.000000E+00
194,2020/05/13,08:24:01,2,0.000000E+00
195,2020/05/13,08:24:15,1,0.000000E+00
196,2020/05/13,08:24:16,2,0.000000E+00
197,2020/05/13,08:24:30,1,0.000000E+00
198,2020/05/13,08:24:31,2,0.000000E+00
199,2020/05/13,08:24:45,1,0.000000E+00
200,2020/05/13,08:24:46,2,0.000000E+00
201,2020/05/13,08:25:00,1,0.000000E+00
202,2020/05/13,08:25:01,2,0.000000E+00
203,2020/05/13,08:25:15,1,0.000000E+00
204,2020/05/13,08:25:16,2,0.000000E+00
205,2020/05/13,08:25:30,1,0.000000E+00
206,2020/05/13,08:25:31,2,0.000000E+00
207,2020/05/13,08:25:45,1,0.000000E+00
208,2020/05/13,08:25:46,2,0.000000E+00
209,2020/05/13,08:26:00,1,0.000000E+00
210,2020/05/13,08:26:01,2,0.000000E+00
211,2020/05/13,08:26:15,1,0.000000E+00
212,2020/05/13,08:26:16,2,0.000000E+00
213,2020/05/13,08:26:30,1,0.000000E+00
214,2020/05/13,08:26:31,2,0.000000E+00
215,2020/05/13,08:26:45,1,0.000000E+00
216,2020/05/13,08:26:46,2,0.000000E+00
217,2020/05/13,08:27:00,1,0.000000E+00
218,2020/05/13,08:27:01,2,0.000000E+00
219,2020/05/13,08:27:15,1,0.000000E+00
220,2020/05/13,08:27:16,2,0.000000E+00
221,2020/05/13,08:27:30,1,0.000000E+00
222,2020/05/13,08:27:31,2,0.000000E+00
223,2020/05/13,08:27:45,1,0.000000E+00
224,2020/05/13,08:27:46,2,0.000000E+00
225,2020/05/13,08:28:00,1,0.000000E+00
226,2020/05/13,08:28:01,2,0.000000E+00
227,2020/05/13,08:28:15,1,0.000000E+00
228,2020/05/13,08:28:16,2,0.000000E+00
229,2020/05/13,08:28:30,1,0.000000E+00
230,2020/05/13,08:28:31,2,0.000000E+00
231,2020/05/13,08:28:45,1,0.000000E+00
232,2020/05/13,08:28:46,2,0.000000E+00
233,2020/05/13,08:29:00,1,0.000000E+00
234,2020/05/13,08:29:01,2,0.000000E+00
235,2020/05/13,08:29:15,1,0.000000E+00
236,2020/05/13,08:29:16,2,0.000000E+00
237,2020/05/13,08:29:30,1,0.000000E+00
238,2020/05/13,08:29:31,2,0.000000E+00
239,2020/05/13,08:29:45,1,0.000000E+00
240,2020/05/13,08:29:46,2,0.000000E+00
241,2020/05/13,08:30:00,1,0.000000E+00
242,2020/05/13,08:30:01,2,0.000000E+00
243,2020/05/13,08:30:15,1,0.000000E+00
244,2020/05/13,08:30:16,2,0.000000E+00
245,2020/05/13,08:30:30,1,0.000000E+00
246,2020/05/13,08:30:31,2,0.000000E+00
247,2020/05/13,08:30:45,1,0.000000E+00
248,2020/05/13,08:30:46,2,0.000000E+00
249,2020/05/13,08:31:00,1,0.000000E+00
250,2020/05/13,08:31:01,2,0.000000E+00
251,2020/05/13,08:31:15,1,0.000000E+00
252,2020/05/13,08:31:16,2,0.000000E+00
253,2020/05/13,08:31:30,1,0.000000E+00
254,2020/05/13,08:31:31,2,0.000000E+00
255,2020/05/13,08:31:45,1,0.000000E+00
256,2020/05/13,08:31:46,2,0.000000E+00
257,2020/05/13,08:32:00,1,0.000000E+00
258,2020/05/13,08:32:01,2,0.000000E+00
259,2020/05/13,08:32:15,1,0.000000E+00
260,2020/05/13,08:32:16,2,0.000000E+00
261,2020/05/13,08:32:30,1,0.000000E+00
262,2020/05/13,08:32:31,2,0.000000E+00
263,2020/05/13,08:32:45,1,0.000000E+00
264,2020/05/13,08:32:46,2,0.000000E+00
265,2020/05/13,08:33:00,1,0.000000E+00
266,2020/05/13,08:33:01,2,0.000000E+00
267,2020/05/13,08:33:15,1,0.000000E+00
268,2020/05/13,08:33:16,2,0.000000E+00
269,2020/05/13,08:33:30,1,0.000000E+00
270,2020/05/13,08:33:31,2,0.000000E+00
271,2020/05/13,08:33:45,1,0.000000E+00
272,2020/05/13,08:33:46,2,0.000000E+00
273,2020/05/13,08:34:00,1,0.000000E+00
274,2020/05/13,08:34:01,2,0.000000E+00
275,2020/05/13,08:34:15,1,0.000000E+00
276,2020/05/13,08:34:16,2,0.000000E+00
277,2020/05/13,08:34:30,1,0.000000E+00
278,2020/05/13,08:34:31,2,0.000000E+00
279,2020/05/13,08:34:45,1,0.000000E+00
280,2020/05/13,08:34:46,2,0.000000E+00
281,2020/05/13,08:35:00,1,0.000000E+00
282,2020/05/13,08:35:01,2,0.000000E+00
283,2020/05/13,08:35:15,1,0.000000E+00
284,2020/05/13,08:35:16,2,0.000000E+00
285,2020/05/13,08:35:30,1,0.000000E+00
286,2020/05/13,08:35:31,2,0.000000E+00
287,2020/05/13,08:35:45,1,0.000000E+00
288,2020/05/13,08:35:46,2,0.000000E+00
289,2020/05/13,08:36:00,1,0.000000E+00
290,2020/05/13,08:36:01,2,0.000000E+00
291,2020/05/13,08:36:15,1,0.000000E+00
292,2020/05/13,08:36:16,2,0.000000E+00
293,2020/05/13,08:36:30,1,0.000000E+00
294,2020/05/13,08:36:31,2,0.000000E+00
295,2020/05/13,08:36:45,1,0.000000E+00
296,2020/05/13,08:36:46,2,0.000000E+00
297,2020/05/13,08:37:00,1,0.000000E+00
298,2020/05/13,08:37:01,2,0.000000E+00
299,2020/05/13,08:37:15,1,0.000000E+00
300,2020/05/13,08:37:16,2,0.000000E+00
301,2020/05/13,08:37:30,1,0.000000E+00
302,2020/05/13,08:37:31,2,0.000000E+00
303,2020/05/13,08:37:45,1,0.000000E+00
304,2020/05/13,08:37:46,2,0.000000E+00
305,2020/05/13,08:38:00,1,0.000000E+00
306,2020/05/13,08:38:01,2,0.000000E+00
307,2020/05/13,08:38:15,1,0.000000E+00
308,2020/05/13,08:38:16,2,0.000000E+00
309,2020/05/13,08:38:30,1,0.000000E+00
310,2020/05/13,08:38:31,2,0.000000E+00
